,Date,Open,High,Low,Close,Volume,6
0,2005-01-03T00:00:00+0530,47.58,48.91,47.42,48.62,1989329,0
1,2005-01-04T00:00:00+0530,49,50.49,48.14,49.99,3942449,0
2,2005-01-05T00:00:00+0530,52.2,52.2,47.1,48.62,4972609,0
3,2005-01-06T00:00:00+0530,48.62,49.6,47.6,48.14,2735629,0
4,2005-01-07T00:00:00+0530,48.14,49.7,47.8,49.35,3162419,0
5,2005-01-10T00:00:00+0530,49.79,50.28,48.7,49.47,4244649,0
6,2005-01-11T00:00:00+0530,49.7,49.7,48.01,48.59,1826939,0
7,2005-01-12T00:00:00+0530,48.59,52.74,45.52,46.92,1972559,0
8,2005-01-13T00:00:00+0530,47.2,48.1,47.02,47.31,1346419,0
9,2005-01-14T00:00:00+0530,47.5,48.03,46.55,46.88,1155669,0
10,2005-01-17T00:00:00+0530,47,47,44.52,45.73,1895539,0
11,2005-01-18T00:00:00+0530,46.3,47.3,46.2,46.48,2157559,0
12,2005-01-19T00:00:00+0530,46.48,47.05,46.23,46.51,1198939,0
13,2005-01-20T00:00:00+0530,46.5,46.6,45.44,46.05,1059639,0
14,2005-01-24T00:00:00+0530,49.4,49.5,45.6,46.14,597389,0
15,2005-01-25T00:00:00+0530,48.98,48.98,45.8,48.13,3239969,0
16,2005-01-27T00:00:00+0530,48.6,48.7,47.26,47.52,3485639,0
17,2005-01-28T00:00:00+0530,48.09,48.8,47.86,48.44,1711909,0
18,2005-01-31T00:00:00+0530,48.85,49.4,48.53,48.95,2427059,0
19,2005-02-01T00:00:00+0530,49.24,49.24,48.3,48.52,1538249,0
20,2005-02-02T00:00:00+0530,48.8,49.2,48.25,48.38,829179,0
21,2005-02-03T00:00:00+0530,48.5,49.5,48.23,49.18,1486919,0
22,2005-02-04T00:00:00+0530,49.5,51,49.1,50.55,3341639,0
23,2005-02-07T00:00:00+0530,51.48,51.75,50.22,50.49,2536689,0
24,2005-02-08T00:00:00+0530,50.4,52.4,50.35,51.93,3064039,0
25,2005-02-09T00:00:00+0530,52.4,53.95,52.4,53.42,6399609,0
26,2005-02-10T00:00:00+0530,53.42,53.6,52.61,52.91,1364979,0
27,2005-02-11T00:00:00+0530,53.5,55.96,52.6,54.64,4840299,0
28,2005-02-14T00:00:00+0530,55,56.6,54.3,55.91,5045469,0
29,2005-02-15T00:00:00+0530,56.3,56.5,54.65,54.9,2031479,0
30,2005-02-16T00:00:00+0530,55.4,55.54,53.9,54.2,2087829,0
31,2005-02-17T00:00:00+0530,54.1,54.42,52.56,53.58,2543139,0
32,2005-02-18T00:00:00+0530,54,54.65,53.7,54.33,2108849,0
33,2005-02-21T00:00:00+0530,54.31,54.49,53.2,53.8,1699609,0
34,2005-02-22T00:00:00+0530,53.5,54.5,53.5,54.27,2174399,0
35,2005-02-23T00:00:00+0530,54.45,54.45,53.65,53.88,1130959,0
